,date,company,title,full description,link
0,2021-04-22 16:23:06.308383,PokerStars,Media Reporting Analyst,"The role: Media Reporting Analyst
We are looking for a Reporting Analyst to join our Marketing Effectiveness team based in our Dublin office.
Are you are next star player?
We are building a new Marketing Effectiveness team, and we’re looking for individuals with big ideas and the ability to think creatively and outside of the box. You will become part of a company that gives you everything you need to create winning moments to push your own boundaries and build the best experience for our millions of players around the world.
Why we need you:
We are seeking a highly analytical and data-centric Reporting Analyst to join the team. We would like to hear from individuals who are passionate about data, visualising data and turning data into business value. Enjoy using data to tell a story.
The role will involve conducting in-depth reporting and analysis to identify meaningful insights and making recommendations that will influence the direction of the business.
You will be responsible for:
Compiling and populating Performance marketing set of reports and distributing to the wider business.
Post campaign analysis across all campaigns and verticals – collaborating closely with channel owners and responsibility of the analysis and performance review of each campaign.
Working with the relevant channels to prioritise business and information needs and evaluate brand and top of funnel campaigns.
Leveraging data and working with the Digital teams to understand tracking and acquisition performance across all acquisition channels.
Identify and investigate trends, patterns, anomalies, spikes and other occurrences in data sets that will help drive intelligent planning and decisions.
Collaborating with the wider team and business partners to building innovative reporting and insight solutions using existing and external tools. Identifying any gaps in coordination with the Marketing Effectiveness roadmap
Advise internal team with regards to patterns and relationships in the data. Working with the team to recommend campaign direction
Maintaining excellent communication with all channel leads and ensure they are well-informed regarding key performance indicator trends
Work with cross-functional teams to build reports and interactive experiences for data delivery and easily understood presentation to executives.
Who we’re looking for:
An individual with proven experience in delivering reports and presentations through visualisation tools e.g. PowerBI, Powerpoint, Tableau etc.
SQL coding ability and proven experience in ETL process and procedures
Someone who is skilled in problem solving and has excellent analytical skills and ability to provide impactful insights from data.
What’s in it for you?
Our experience-based salaries are competitive. Plus, there’s a discretionary annual performance bonus. And we provide advice and dedicated assistance to those moving to Dublin.

Your package will include:
health and dental insurance for you, your partner and your children (if you all live at the same address)
a personal interest allowance to let you learn something new or pursue a hobby
the option to join our company pension scheme
looking to extend your family? You will receive a cash gift of 1,000 EUR for your new addition whilst working for us
in-house training and development to develop your skills, progressing your career
free fresh fruit, snacks and drinks in the office
access to an onsite gym.
What happens next?
If you’re what we’re looking for, next up will be a Zoom interview.
The Group
PokerStars is part of Flutter Entertainment Plc, a global sports betting, gaming and entertainment provider headquartered in Dublin and part of FTSE 100 index of the London Stock Exchange, which brings together exceptional brands, products and businesses and a diverse global presence in a safe, responsible and ultimately sustainable way.
We are an equal opportunity employer that values diversity. We do not discriminate on any protected characteristic as defined by applicable law.
We will look to provide reasonable accommodation for applicants with disabilities to participate in the job application or interview process. If you need assistance, please contact: talent@starsgroup.com.
Please note we cannot accept general applications; this inbox is just for providing support to those who need it.",https://ie.indeed.com/viewjob?jk=84ebc0f8f848622a
1,2021-04-22 16:23:06.636362,The Coca-Cola Company,EMEA Analytics Solutions Analyst,"Position Overview:

As part of the EMEA Analytics & Insights Capabilities Team you will enable our partners to make decision with connected data/Advanced Analytics solutions and establish metrics that drive business outcomes. The Analytics Solutions Analyst will help translate strategic business questions into scalable metrics and drive analysis based on findings & optimization. You will partner with our Analytics and Insights teams to pilot and prototype Advanced Analytic solutions. You will use your technical skills, modeling abilities, and digging into the data and delivering key insights that can help enable connected data and advance our data maturity. A team-player attitude is crucial, we value collaboration, willingness to learn, curiosity, purpose, and diversity as part of our culture.
Function Related Activities/Key Responsibilities:
You will be responsible for leveraging our data to create analytics that can support current and future needs, driving analytical maturity, new capabilities, partnering with data architecture, governance, solutions and Platform Service center Data and IT teams.
Design systems and processes to document data & Analytical Solutions across business functions
Adding intelligence with AI/ML where it matters to create new efficiencies and new value
Problem-solve with product and business teams, advise executive team how to leverage Advanced Analytics across the company.
Foster the cross-system connectivity to each other within the function, with other business functions and any other Enterprise functions
Align with peer Analytics Solutions Leads to build shareable/reusable solutions and eliminate silos
Identify common data & Advanced Analytics needs vs exclusive needs
Study current data systems & Advanced Analytics solutions in place and problems need to be addressed
Cross share functional learnings with the peer Analytics Solutions Leads and with Capabilities Team to drive deployment of global solutions and standards
Education Requirements:
Master’s or PhD in Quantitative field, (ML/AI , Computer Sc./Advanced Analytics, Econometrics).
Advanced Programming skills VB, Python, R, SQL, (GAMS and Java a plus)
Bayesian Statistics knowledge is a plus
Related Work Experience:
Minimum 3 years’ experience in similar role.
Experience using Agile delivery methodologies
Experience on MS DevOps and Azure Databricks.
Experience building Forecasting Tools
Experience building Geolocation Data Analytics Tools is a plus
Experience applying Dynamic Optimization methods is a plus
Experience in Big Data and Cloud solution implementation is a plus
Functional Skills:
Strong team player
Analytical & communication skills
Demonstrated track record of capability development that has led to improved business results
A passion to learn/develop and bring in emerging trends/technology that drive further insight value
The mindset of an entrepreneurial thinker and is a self-starter, displaying proactive thinking
Our Purpose and Growth Culture:
We are taking deliberate action to nurture an inclusive culture that is grounded in our company purpose, to refresh the world and make a difference. We act with a growth mindset, take an expansive approach to what’s possible and believe in continuous learning to improve our business and ourselves. We focus on four key behaviors – curious, empowered, inclusive and agile – and value how we work as much as what we achieve. We believe that our culture is one of the reasons our company continues to thrive after 130+ years. Visit Our Purpose and Vision to learn more about these behaviors and how you can bring them to life in your next role at Coca-Cola.

We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class. When we collect your personal information as part of a job application or offer of employment, we do so in accordance with industry standards and best practices and in compliance with applicable privacy laws.",https://ie.indeed.com/viewjob?jk=af8211388ac0e71b
2,2021-04-22 16:23:07.010928,eShopWorld,Business Analyst,"The Opportunity

We are going through a period of rapid growth and the finance team is recruiting and expanding their team to meet these demands and scale for future growth. As part of a large-scale transformation programme, we are looking for an experienced and highly motivated person to join eShopWorld as a Business Analyst.

The successful candidate will have a high understanding of Excel and VBA, with a vision to automate and structure large amounts of data through Excel, VBA, RPA or other technologies. The candidate will be responsible for structuring current reporting models to enhance, automate and create inter-relational data structures between tasks and departments. This position requires a close working relationship with key stakeholders to understand their specific data requirements and developing the necessary documentation to support the team across the development and support after implementation.

Key Responsibilities:

Transformation activities:

Ability to analyse and document in relevant detail business processes and user requirements.
Design reporting models and processes in Excel, and define required automations
Structure data flows and inter-relationships between processes and departments
Produce both process and data flow maps as required identifying timings, functional responsibilities etc.
Effectively translate stakeholders' problems or demands into solutions. Map and document the desired outcomes to show the `To be' processes against the processes which can be supported by a technical solution or package
Continually critically analyse development requirements in terms of solution design, dependency, and value / outcome
Effectively engage with stakeholders to ensure clarity of expectation and outcome to reduce iteration cycles or misinterpretation
Define resource allocation and priority of activities in collaboration with stakeholders
Assist stakeholders in reviewing functionality outcomes to ensure in line with original scoping and assisting where outcome is not in line with expectation (successful UAT of data related solutions)
Ensure full alignment between various internal and external teams to confirm and gain agreement to the desired outcomes
Ability to facilitate information gathering sessions to capture key Business Requirements
Ability to self-manage the business analysis activity through to completion

Technology based activities:

Identify best technology to use for each solution implementation
Identify improvements and enhancements by applying different technologies
Define required formulas or VBA solutions to simplify and automate data models
Define implementation process using RPA and/or Alteryx
Lead User Acceptance Testing as part of our go-live preparation
Maintain a high level of knowledge about all products, systems and procedures that relate to each of the implementations
Foster and lead a continuous improvement culture. Identify process improvements and process re-engineering, to help to improve business practices
Participate in architectural process reviews as part of project and strategic initiatives
Data Management Governance
Manage Ad hoc projects and tasks as assigned from time to time
Prioritize, schedule and complete development and testing required for multiple applications with overlapping schedules

 Essential Qualifications & Experience:

Highly analytical with strong problem solving and troubleshooting skills
Minimum of 5 years' business analysis experience across a variety of functions or domains
Proven experience designing and architecting solutions in Excel, VBA, Power Pivot and Access/SQL
Knowledge of RPA (UiPath preferred), Alteryx, automation tools and other automation technologiesBachelor's degree in a Business/Technology/Engineering or related degree
Technical experience; for example with business intelligence platforms database knowledge (i.e.Looker, PowerBI)
Experience working in an Agile environment
Excellent facilitation & critical analysis skills
Strong communication & translation of requirements skills.
Process and Data mapping experience
You should want to work in a fast-paced eCommerce business
Ability to influence and manage multiple stakeholders
Excellent operational organisation skills
High level of initiative and desire to get things done
Willingness to introduce change and challenge existing processes and procedures
eCommerce and or logistics industry experience is highly desirable

What's on offer?

Career growth – tailored learning & development, tuition assistance and professional certification.
Health & Wellbeing – dental & health insurance, reduced corporate gym membership, paid sick leave.
Work Life Balance – 25 days annual leave, flexible working, sports & social club.
Family – paid maternity & paternity leave, life assurance, income disability cover.
Financial – competitive salary, pension, stock option scheme, bike to work, travel TaxSaver, relocation assistance.

About us

Founded in 2010, eShopWorld powers cross-border ecommerce for the world's best-known brands, creating safer, simpler, and faster shopping experiences for consumers all around the globe. ESW's powerful combination of technology and human ingenuity optimizes the entire shopper journey, from site development to demand generation to checkout, through shipping, customer service and returns.

With configurable end-to-end solutions in more than 200 markets worldwide, we fully manage payments, compliance, data security, fraud protection, taxes and tariffs, helping clients enter new markets in as few as 6 weeks, and dramatically improve results in current markets. Bringing together more than 400 experts across multiple disciplines, the ESW team delivers profitable growth for retailers and brands worldwide.",https://ie.indeed.com/viewjob?jk=9e77f88013e54bd8
3,2021-04-22 16:23:07.316628,LSC,IT Business Analyst,"We have a great contract opportunity for a IT Business Analyst to join a top 10 Pharmaceutical company based in Tipperary. If you have 5+ years GxP (life science, pharma, med device) experience and are ready for your next challenge, this could be the perfect project for you!ABOUT THE PROJECT - KEY RESPONSIBILITIES: Provide customer support to the business areas for IT products, services and applications on new and existing systems and resolving and reporting associated problems.Discharge the responsibilities established in the Configuration Management Procedure for any systems assigned to the role.Manage all assigned IT systems to ensure they are maintained in a validated state according to the System Development Lifecycle for Computer Validation and applicable policies and procedures.Through effective change control procedures ensure that changes carried out on all assigned IT systems are well designed, properly cost justified and risk assessed and consistent with the site and divisional IS strategy.Liaise with MMD IT and Technical Services groups to ensure the appropriate Ballydine input in key divisional initiatives.ABOUT YOU - ARE YOUR SKILLS A MATCH?A BSc in an IT, Engineering or Science fieldHigh level of technical competence on the site systems, standards & best practiceUnderstanding of how the various IT applications are integrated into other plant systemsKnowledge of the underlying architecture of the assigned IT applicationsComputer Validation, System Lifecycle MethodologyStandard Reporting ToolsNote: Are you currently eligible to work in Ireland? As this is a contract opportunity you will need to hold a Stamp 1G/Stamp 4 visa to apply!Apply via this advert or contact Conor Dolan at LSC on 021 4777 329 for more information on this new IT Business Analyst position.Reference ID: VAC-19104Contract length: 47 weeksJob Types: Full-time, ContractSchedule:8 hour shiftEducation:Bachelor's (preferred)Experience:Data analysis: 5 years (preferred)Work remotely:NoCOVID-19 precaution(s):Remote interview processPersonal protective equipment provided or requiredPlastic shield at work stationsTemperature screeningsSocial distancing guidelines in placeVirtual meetingsSanitisation, disinfection or cleaning procedures in place",https://ie.indeed.com/viewjob?jk=84d1c6c173228542
4,2021-04-22 16:23:07.669545,HubSpot,Product Analyst,"As a Product Analyst, you are a member of a global team of data-driven influencers, setting the standard for how data and analytics is used at HubSpot, and inspiring our product teams to action.

Product and Engineering use multiple sources of data (user event data, NPS, and transactional data, etc) to discover what is going well for our customers, where we can improve, and what to build next. Product Analysts - individuals with high data literacy, intellectual curiosity, and communication skills - are at the center of these analyses and decisions; we work side-by-side with Product Management, User Experience, and Engineering leadership to inform and build better solutions for our customers.

In this role, while you operate with a high degree of autonomy, you benefit from the support of the Product Analytics community - sharing ideas, debating approaches, and receiving feedback to deliver more effective analyses and develop in your career.

General responsibilities:

Be a driving influencer on the use and application of analysis; deliver what's needed, and show what's possible
Partner with product stakeholders to understand your team's data and business needs; become an expert in translating these needs into specific analyses with actionable insights
Conduct quantitative analysis of user behavior to uncover issues or opportunities to improve the our customers' experience
Inform the design and analyze the outcomes of in-app tests and experiments
Collaborate across UX teams and business functions to infuse strategic, open ended research with quantitative insights
Communicate insights to your stakeholders with a data-driven point of view and plan for action

Examples of common projects:

Define (or redefine) leading indicators of success for your team. Serve as the expert for these metrics by understanding how data collection is instrumented in the product, how it flows through our ETL pipeline and is aggregated, and how metrics are defined in our analytics platform. Construct the core dashboards, visualizations and analyses to help stakeholders monitor product health and make better decisions
Perform ad hoc analyses into user behavior to inform specific, near-term experiment designs or product decisions or longer term product strategy
Partner with engineering and other internal operations teams to enable a high level of data integrity, consistency and clarity across cross multiple internal databases and reporting systems
Be a voice within your teams to educate, elevate and advocate for the continual value of leveraging analytics to inform decision making

From our Product and Engineering Blog: How HubSpot's product analysts transform the customer experience

Minimum Qualifications:

Academic or professional experience with a heavy quantitative, analytical focus
Practical experience in a business environment influencing decision making with data
Experience working with large datasets; particularly data mining, manipulation and exploration
Ability to write performant, complex SQL queries combining multiple sources of data
Comfortability with data analytics and statistical tools such as R or Python
Confidence using a variety of analytical and statistical techniques
Passionate about the role of data in helping solve complex questions
Excellent communication, storytelling, and collaboration skills

Above and Beyond Qualifications:

Knowledge of analytical development tools such as Amplitude, Looker, Git and dbt
Demonstrated passion for building products that delight customers and drive their success
Experience working at, or strong understanding of, a SaaS business.

We know the confidence gap and imposter syndrome can get in the way of meeting spectacular candidates, so please don't hesitate to apply — we'd love to hear from you.


About HubSpot

HubSpot (NYSE: HUBS) is a leading customer relationship management (CRM) platform that provides software and support to help businesses grow better. We build marketing, sales, service, and website management products that start free and scale to meet our customers' needs at any stage of growth. We're also building a company culture that empowers people to do their best work through. If that sounds like something you'd like to be part of, we'd love to hear from you.

You can find out more about our company culture in the HubSpot Culture Code, which has more than 5M views, and learn about our commitment to creating a diverse and inclusive workplace, too. Thanks to the work of every employee globally, HubSpot was named the #4 Best Place to Work on Glassdoor in 2021, and has been recognized for award-winning culture by Great Place to Work, Comparably, Fortune, Entrepreneur, Inc., and more.

Headquartered in Cambridge, Massachusetts, HubSpot was founded in 2006. Today, thousands of employees work across the globe in HubSpot offices and remotely. Visit our careers website to learn more about culture and opportunities at HubSpot.


By submitting your application, you agree that HubSpot may collect your personal data for recruiting, global organization planning, and related purposes. HubSpot's Privacy Notice explains what personal information we may process, where we may process your personal information, our purposes for processing your personal information, and the rights you can exercise over HubSpot's use of your personal information.",https://ie.indeed.com/viewjob?jk=fba878fa6354b0fa
5,2021-04-22 16:23:08.007122,Morgan McKinley,HCM Project Coordinator and Analyst,"Our client, a tech multinational based in Dublin is looking for an individual with experience with Human Capital Management software, abscence mangagment tracking and time tracking for a 6 month contract. Within this role, you will be invovled in mapping out processes, gaining business requirements, wokring with project teams, and acting as a go to relationship manager between People Teams and Engineering Teams. This role is ideal for someone wtih a background in Human Resources, HCM software, and who have stepped in to an analytical role.
About the Team
The Global People Operations team strives to create and deliver a seamless and positive employee experience across the entire employee lifecycle. Leading with care and empathy, we develop efficient and simple people processes, systems, policies, and programs. We deliver data that is useful and accurate to create People-related strategies across the business. We manage people knowledge and provide expertise on how HR systems are connected.Our work also ensures the company remains protected and compliant. We strive to ensure employees feel heard and given the resources and support they need during the most important moments during their careers.
About the Role:
We are seeking a HCM Super user to assist in delivering technology solutions for HR programs. The ideal candidate will question common assumptions, rethink existing processes, and see every challenge as an opportunity for improvement. We're looking for an execution focused individual, who can look at the big picture from a user experience, technology and business standpoint but also connect this to the HR need. This role supports process and technology on a global scale.
Responsibilities
Identify and support transformative cross-functional initiatives to improve business outcomes for HR.
Support shared vision across the HR and business functions by partnering with key internal business stakeholders.
Acts as primary project contact to establish key stakeholder requirements and project objectives. Creating business requirements artifacts, including process designs, test scripts, and user stories.
Development of process documentation, stakeholder presentations and associated artifacts. Support project and process change management activities.
Maintain effective communication with project relevant stakeholders including creation of project plans and facilitate resolution of all issues to reach project goals.
Coordinate project activities across engineering and HR teams, define and track key project milestones and deliverables.
Analysis of data and metrics to inform product and process roadmaps.
Requirements:
4+ years experience implementing customer-facing technology solutions
4+ years experience driving small to medium technology initiatives
Experience creating business requirements artifacts, including process designs
Intermediate to advanced knowledge of Excel and data analysis skills
Proven relationship and partnership building skills
Demonstrated experience leading global technical projects end-to-end with multiple stakeholders
Experience with Agile, Scrum, BABOK, SDLC or similar project management methodologies
Strong written and verbal communication skills
Proven track record of effectively interacting with internal and external stakeholders
Demonstrated experience working in a fast-paced environment with stakeholders and users
Familiarity with Workday HCM including Absence and Time Tracking as either a super-user or configurator.
Familiarity with Salesforce Service Cloud
Experience leading change management initiatives
Morgan McKinley is acting as an Employment Agency and references to pay rates are indicative.
BY APPLYING FOR THIS ROLE YOU ARE AGREEING TO OUR TERMS OF SERVICE WHICH TOGETHER WITH OUR PRIVACY STATEMENT GOVERN YOUR USE OF MORGAN MCKINLEY SERVICES.",https://ie.indeed.com/viewjob?jk=59203c3d099c2c4e
6,2021-04-22 16:23:08.302784,Principle HR,Business Analyst Tableau/SQL Global Tech,"Business Analyst Tableau/SQL Global Tech
Urgent requirement for an experienced Business Analyst with a background working within a technology or consulting to join a well-known Global Tech Company in Dublin

What we are looking for
A Business Analyst who can liaise between key stakeholders and technical teams to identify issues the business is facing and map out potential solutions. In addition, you will also be responsible for the, coordination of the Teams, helping in the elaboration phase and coming to a successful solution. You will also be responsible for driving change and working cross functionally with teams across various countries and time zones

What's in it for you ?
Attractive salary circa €100k
Remote Working (until further notice)
High level of autonomy coupled with a strong collaborative support environment
Exposure to leading-edge technologies
Key skills
Good knowledge of technical reporting and follow-ups tools and managing multiple vendors
Analytical, methodical, rigour and accurate
Ability to provide ad hoc revenue analysis
Experience as a Business Analyst working in the same stream with knowledge of the technology industry preferable
Strong communication skills both oral and written
Minimum Requirements
5+ years of proven Business Analysis Background in a Global Setting
5+ years' experience with Excel (PivotTable, Charts, Statistical functions)
Must have extensive Tableau Experience
Experience working independently, managing multiple concurrent projects and driving
initiatives in a cross-functional environment
Experience leading data-driven projects and communicating the results of analysis and insights to technical and non-technical audiences
Comfortable with a rapidly changing environment with a goal-oriented approach
What to do next?
Click Apply or Apply with LinkedIn profile. Contact Ed in Principle on 0035316035071
We are always open to having a confidential chat about opportunities that may suit your skills. Get in touch with Ed Bennett | Lead Tech recruiter today or send your CV",https://ie.indeed.com/viewjob?jk=3e3ed3df5c8abf4c
7,2021-04-22 16:23:08.620538,Sigmar Recruitment,German-speaking Financial Data Analyst,"German-speaking Financial Data Analyst €28,000Dublin WestPermanent**Applicants must have Stamp 4 visa or an EU passport**My client is looking for a German-speaking Financial Data Analyst to join their busy team in Dublin.This is an excellent opportunity for someone looking to build a successful career in financial services.Day to day responsibilities include: · Identify and analyse key financial estimates from financial statements including balance sheet, income statement, cash flow statement· Attribute the available data in the income statement, balance sheet and cash flow statement in accordance with the collection policy· Conduct broker specific financial research· Maintain, improve and deliver accurate, timely and high-quality information for the Client Terminal· Any other tasks that may be required from time to time.Requirements: · Fluency in English AND German· Bachelor’s degree in Business/Finance/Accounting· Good knowledge and understanding of financial statements· Keen interest in financial markets· Excellent communication skills· Proficient with MS Office – Excel.Reference ID: GERMAYJob Types: Full-time, PermanentSalary: €28,000.00 per yearSchedule:8 hour shiftNo weekendsEducation:Bachelor's (required)Work remotely:Temporarily due to COVID-19COVID-19 precaution(s):Remote interview process",https://ie.indeed.com/viewjob?jk=db95bd66f1663313
8,2021-04-22 16:23:08.903113,Brown Thomas Group,Senior IT Business Analyst,"Senior IT Business Analyst- Head Office


GET TO KNOW US

We’re a retail world built on iconic firsts. Famed for the creativity that touches our brands, buildings and experiences. We’re always challenging ourselves to make every experience more special and unique for our customers and our people. We are committed to equality, diversity and inclusion in the workplace and are proud to have received bronze accreditation from the Irish Centre for Diversity as a result of successfully demonstrating the effective D&I policy’s that we have in place. Supported by strong family foundations that inspire us to create something that lasts, because we care about the tomorrow we’re carving out.

KNOW THE ROLE

Our IT department are looking for a Senior Business Analyst to join their team.
Ability to design technical solution requirements and specification based on requests from the business.
Create tech specifications and requirements based on the business requirements to enable definition of user stories
Identify system dependencies and where/when changes are required in order to facilitate requirements - Perform system analysis on software programs, applications, and web services.
Responsible for initial feasibility assessment of projects/features which requires technical input
Close collaboration and assisting our Vendors with the delivery of the development tasks
Close collaboration with the delivery team to guide and advise on design and technical implementation of the solution in line with the client requirements
Ensure technical quality and good design principles are followed
Experience working in an agile multi-project environment, with multiple parallel projects developing new functionality
Understanding of high-level architecture, and how it integrates with other architectural components
Perform root cause analysis of any productions issues that may arise
Utilize systems and data to resolve business challenges in the most effective, innovative, and productive manner.
Serve as subject matter expert providing direction to less experienced staff.
Ensuring end-user proficiency with new systems, programs, and applications across departments.
Determining system efficiency and functionality by liaising with internal departments and end-users.
Efficiently integrating new systems, programs, and applications with business operations and services.
Ability to create and action regression/progression Test scripts.
Identify upstream and downstream impacts of a business or system change and work closely with teams across the organization to ensure process continuity and integrity.
 Manage and report on workload to your manager in a professional and clear way, to ensure steady delivery of tasks on time, while maintaining work life balance.
Take responsibility for documenting your output to a high professional standard, building time into your estimates to make sure this is always done.

KNOW WHAT WE’RE LOOKING FOR

University degree or 5+ years of similar experience
Technical experience working across multiple inter-connected applications
Technical experience with XML & SQL.
Excellent interpersonal, written, and verbal communication skills.
Excellent analytical, problem-solving, prioritization and decision-making skills.
Ability to address both technical and business requirements in solving problems.
Demonstrated experience in business process analysis, modelling, and re-engineering; background in process to system mapping, modelling, and implementation.
Experience creating technical documentation, activity and sequence diagram.
A detail-oriented and can-do approach
Additional Advantageous Knowledge
Experience in API and back end integrations, ERP, Order Management Systems, Payment gateways, Stock management tools, Salesforce commerce cloud, Salesforce marketing cloud, Business Manager
Retail knowledge preferable
KNOW HOW WE WORK
We act with authenticity, honesty and integrity in everything we do. Encouraging working environments where everyone can use their creativity to drive the business forward in an ever changing retail environment. Our teams are passionate about creating an authentic and unique experience for all our customers. Brown Thomas and Arnotts prides itself on working as one business and two brands. We share our knowledge and support others to be successful in achieving individual and company goals. We deliver results and celebrate success!

KNOW WHAT’S IN IT FOR YOU

Our City Centre based stores are close to all forms of transport and surrounded by many shops, parks and beautiful restaurants.
Team discount is offered to all team members across Brown Thomas Arnotts and our Concession partners.
Wellbeing initiatives at BTA include but are not limited to;

EAP Scheme, Tax Saver Commuter, Bike to Work, Local Discounts, Sports & Social Club.",https://ie.indeed.com/viewjob?jk=eef37decbb004c7c
9,2021-04-22 16:23:09.254837,Amazon EU SARL,"Business Analyst, Transportation Execution","
BA or BS in Engineering, Mathematics, Economics, Statistics, Computer Science or another technical field
5+ years in delivering and influencing business processes using data analysis
Experience with IT-based root cause analysis and process design.
Strong project management skills, highly organized to ensure a timely implementation.
Experience with statistical analysis, regression modeling and forecasting, time series analysis, data mining, financial analysis, and demand modeling
Experience in Statistical Software such as R, SAS, SPSS, MINITAB
Able to write SQL scripts for analysis and reporting ( SQL, MySQL)
Experience using one or more of Python, VBA, MATLAB, Java, C++ programming languages
Excellent communication skills and ability to simplify complex topics for broad audiences.
Fluency in English. Further additional EU languages also beneficial
Sound business judgment, proven ability to influence others, and strong analytical thinking skills are critical to success in this position

At Amazon we believe that every day is still day one. A day to take the first step and a day to look forward to new challenges. And, today is that day for you. It's your day to be part of something great. A day to make your ideas come to life and your day to join a company that redefines itself every day. A day to make history. That's the energy and passion behind Amazon.

The Transportation Execution Business Analyst works across the EU in a cross-functional environment with operations and analytics teams to support the teams to monitor, report, and predict impacts to our transportation network.

The successful candidate will have strong data mining and modeling skills and is comfortable facilitating ideas and working from concept through to execution. This role will also build tools and support structures needed to analyze data, dive deep into data and present findings to business partners to drive improvements.

Responsibilities include, but are not limited to:

Defining the project roadmap and coordinating the implementation based on the analytical results.
Understanding of analytical simulations and assessments. Must be able to quickly understand the business impact of the trends and make decisions that make sense based on available data
Reporting and analysis through tools, portals and reports; following solution-driven approach to systems and processes, using advanced computer literacy (Excel, PowerPoint, Outlook, Word) and manipulating/mining data from database tables (Redshift, Oracle, Data Warehouse)
Pull and report data from numerous databases (using Excel, Access, SQL and / or other data management systems) and to perform ad hoc reporting and analysis as required
Communicate with external customers (Carriers, Vendors / Suppliers) and internal customers (Finance, Fulfillment Centers, Supply Chain)
Implement new processes and methodologies across the organization
Master’s degree or equivalent in Logistics / Supply Chain / Mathematics / Science / Engineering / Business Development
Experience developing and growing a business / start-up / association
Proficiency with TABLEAU, Microsoft Excel to include making charts, data manipulation, pivot tables, creating macros, and visual basic knowledge.
Fluency in German, French, Polish, or other European languages

",https://ie.indeed.com/viewjob?jk=4eb32f7bfe7fde39
